,NIP,Cl_P1
0,N197403668,1
1,N197601582,3
2,N197901293,1
3,N198104874,1
4,N198300356,1
5,N198300511,1
6,N198302025,3
7,N198302274,1
8,N198302546,1
9,N198303522,3
10,N198303901,1
11,N198303963,3
12,N198306821,3
13,N198401393,1
14,N198401875,1
15,N198403316,1
16,N198403654,1
17,N198404865,0
18,N198404936,1
19,N198410314,0
20,N198410754,1
21,N198410788,1
22,N198411349,1
23,N198412339,1
24,N198412378,1
25,N198502105,1
26,N198502208,3
27,N198502258,1
28,N198502640,1
29,N198504436,3
30,N198505430,0
31,N198505509,1
32,N198506971,1
33,N198507026,1
34,N198507368,1
35,N198507801,1
36,N198507945,1
37,N198508836,1
38,N198509758,1
39,N198510292,3
40,N198600117,3
41,N198600228,2
42,N198600246,1
43,N198600346,1
44,N198600847,1
45,N198600899,3
46,N198601213,1
47,N198601228,1
48,N198601622,1
49,N198602057,1
50,N198602196,1
51,N198604377,1
52,N198604669,1
53,N198605908,3
54,N198606667,0
55,N198607085,1
56,N198607466,3
57,N198607559,1
58,N198607572,1
59,N198700065,0
60,N198700233,1
61,N198701208,1
62,N198702410,1
63,N198702432,3
64,N198703153,1
65,N198704124,1
66,N198704237,3
67,N198704247,1
68,N198704961,1
69,N198705898,1
70,N198706027,3
71,N198706485,2
72,N198706532,1
73,N198707271,1
74,N198707378,3
75,N198707411,1
76,N198800714,1
77,N198801119,1
78,N198803039,3
79,N198803654,1
80,N198806015,1
81,N198900219,1
82,N198901701,1
83,N198902201,1
84,N198902561,1
85,N198902913,2
86,N198903517,3
87,N198903744,1
88,N198904514,1
89,N198904875,1
90,N198905293,1
91,N198905365,1
92,N198906131,1
93,N198906483,1
94,N198906785,1
95,N198906873,1
96,N199000272,1
97,N199000825,1
98,N199001292,1
99,N199002400,3
100,N199002673,1
101,N199002675,1
102,N199003238,3
103,N199003471,1
104,N199003536,1
105,N199004008,3
106,N199004819,0
107,N199005068,3
108,N199005747,1
109,N199005885,1
110,N199006074,3
111,N199006177,1
112,N199100051,3
113,N199100865,1
114,N199102296,1
115,N199102453,1
116,N199103004,1
117,N199103937,3
118,N199105421,3
119,N199106382,3
120,N199200959,3
121,N199201541,1
122,N199202365,3
123,N199202598,1
124,N199203794,1
125,N199203868,1
126,N199203902,1
127,N199204337,1
128,N199300284,1
129,N199300892,1
130,N199301061,3
131,N199301185,1
132,N199301599,1
133,N199301601,3
134,N199301858,3
135,N199302044,1
136,N199302057,1
137,N199302118,1
138,N199303018,0
139,N199304086,1
140,N199304100,1
141,N199304508,2
142,N199400368,1
143,N199400793,1
144,N199401907,3
145,N199401955,1
146,N199402230,1
147,N199402356,1
148,N199402447,1
149,N199402901,1
150,N199402940,1
151,N199403439,1
152,N199403549,1
153,N199403698,1
154,N199404114,0
155,N199404133,3
156,N199404195,1
157,N199404506,3
158,N199404821,1
159,N199500115,1
160,N199500617,1
161,N199501208,0
162,N199501223,1
163,N199501335,1
164,N199502088,1
165,N199503036,0
166,N199503168,1
167,N199503267,1
168,N199503277,1
169,N199503591,1
170,N199503748,3
171,N199504129,1
172,N199600186,1
173,N199600330,0
174,N199600381,1
175,N199601010,1
176,N199601023,1
177,N199602342,2
178,N199602363,1
179,N199603702,1
180,N199603770,1
181,N199700519,3
182,N199700676,3
183,N199701151,3
184,N199701275,3
185,N199701469,1
186,N199701601,1
187,N199701715,1
188,N199702146,1
189,N199702270,1
190,N199702441,1
191,N199702998,3
192,N199703575,1
193,N199703831,1
194,N199703895,1
195,N199703916,3
196,N199704010,1
197,N199704012,3
198,N199704117,1
199,N199704250,1
200,N199704273,1
201,N199704298,3
202,N199800032,1
203,N199800068,1
204,N199800107,1
205,N199800296,3
206,N199800304,1
207,N199800377,1
208,N199800401,1
209,N199800557,1
210,N199800675,1
211,N199801333,1
212,N199801647,3
213,N199801868,1
214,N199802072,3
215,N199802197,1
216,N199802420,1
217,N199802866,1
218,N199802989,1
219,N199803448,1
220,N199803535,1
221,N199803610,1
222,N199803738,1
223,N199803748,0
224,N199803949,1
225,N199804120,1
226,N199804148,1
227,N199804183,0
228,N199900263,3
229,N199900787,1
230,N199900836,1
231,N199900994,1
232,N199901161,1
233,N199901170,3
234,N199901172,3
235,N199901643,1
236,N199901738,1
237,N199901885,1
238,N199902198,1
239,N199902563,1
240,N199902928,1
241,N199902991,1
242,N199903205,1
243,N199903823,1
244,N199904079,1
245,N199904176,1
246,N200000062,3
247,N200000242,3
248,N200000318,1
249,N200000372,3
250,N200000480,1
251,N200000500,1
252,N200000576,1
253,N200000713,1
254,N200000791,1
255,N200001114,1
256,N200001422,1
257,N200001429,1
258,N200001445,1
259,N200001657,1
260,N200001674,1
261,N200001703,1
262,N200002302,1
263,N200002650,1
264,N200002899,1
265,N200002908,1
266,N200003336,1
267,N200003409,1
268,N200003643,1
269,N200003661,1
270,N200004345,3
271,N200004423,1
272,N200004488,1
273,N200100036,3
274,N200100465,1
275,N200100516,1
276,N200100999,1
277,N200101330,3
278,N200101488,0
279,N200102060,1
280,N200102464,1
281,N200102573,1
282,N200102779,1
283,N200102831,1
284,N200103454,1
285,N200104004,3
286,N200104074,1
287,N200200029,1
288,N200200399,1
289,N200200426,1
290,N200200488,1
291,N200200514,3
292,N200200738,1
293,N200200756,1
294,N200200845,0
295,N200200941,1
296,N200201095,1
297,N200201306,1
298,N200201500,1
299,N200201502,1
300,N200201750,1
301,N200201832,0
302,N200201878,1
303,N200201971,1
304,N200202087,1
305,N200202296,1
306,N200202339,1
307,N200202564,1
308,N200202696,1
309,N200202714,1
310,N200202970,1
311,N200202973,1
312,N200203039,1
313,N200203109,1
314,N200203289,1
315,N200203419,3
316,N200203459,1
317,N200203467,1
318,N200203823,1
319,N200204055,1
320,N200204116,1
321,N200204117,1
322,N200204146,1
323,N200204167,1
324,N200204219,1
325,N200204404,1
326,N200300430,3
327,N200300703,1
328,N200300871,1
329,N200301118,1
330,N200301213,1
331,N200301413,1
332,N200301653,1
333,N200301671,3
334,N200301821,1
335,N200301833,3
336,N200302044,1
337,N200302052,3
338,N200302132,1
339,N200302153,1
340,N200302162,1
341,N200302205,1
342,N200302280,1
343,N200302369,1
344,N200302575,1
345,N200302685,1
346,N200302801,1
347,N200303022,1
348,N200303254,3
349,N200303315,1
350,N200303600,1
351,N200303693,3
352,N200303750,1
353,N200303759,1
354,N200303812,1
355,N200304007,1
356,N200304349,1
357,N200304353,1
358,N200304503,1
359,N200304585,1
360,N200304606,1
361,N200400018,1
362,N200400030,1
363,N200400049,3
364,N200400050,1
365,N200400351,1
366,N200400656,0
367,N200400662,1
368,N200401062,3
369,N200401228,1
370,N200401550,1
371,N200401617,3
372,N200401653,1
373,N200401716,1
374,N200401850,3
375,N200402194,1
376,N200402427,1
377,N200402807,1
378,N200402997,1
379,N200403440,1
380,N200403465,1
381,N200404325,3
382,N200404791,1
383,N200404997,1
384,N200500170,1
385,N200500254,1
386,N200500437,3
387,N200500444,1
388,N200500467,1
389,N200500616,1
390,N200500787,1
391,N200500832,1
392,N200500992,1
393,N200501198,1
394,N200501332,1
395,N200501494,1
396,N200501731,1
397,N200501783,1
398,N200501867,1
399,N200502001,3
400,N200502077,0
401,N200502586,1
402,N200502720,3
403,N200502876,3
404,N200503011,1
405,N200503170,1
406,N200503189,1
407,N200503200,3
408,N200503352,1
409,N200503450,1
410,N200503507,1
411,N200503579,1
412,N200503827,1
413,N200503884,1
414,N200503893,1
415,N200504017,1
416,N200504194,1
417,N200504284,1
418,N200504397,1
419,N200504401,1
420,N200504430,0
421,N200504495,1
422,N200504524,1
423,N200504604,1
424,N200504678,1
425,N200505190,1
426,N200505245,1
427,N200505297,1
428,N200505342,3
429,N200600407,1
430,N200600410,1
431,N200600475,1
432,N200600530,1
433,N200600654,1
434,N200600699,1
435,N200600743,3
436,N200600755,1
437,N200600841,1
438,N200601051,1
439,N200601290,1
440,N200601293,1
441,N200601393,1
442,N200601620,1
443,N200601652,3
444,N200601682,3
445,N200601727,3
446,N200601913,1
447,N200601943,0
448,N200602069,1
449,N200602168,0
450,N200602321,3
451,N200602419,3
452,N200602541,1
453,N200602646,1
454,N200602651,1
455,N200602740,3
456,N200602869,1
457,N200602932,3
458,N200603194,1
459,N200603230,1
460,N200603397,1
461,N200603450,3
462,N200603736,1
463,N200603902,1
464,N200604431,1
465,N200604577,1
466,N200604992,1
467,N200605000,1
468,N200605180,1
469,N200605199,1
470,N200605409,1
471,N200605483,1
472,N200605555,3
473,N200605727,1
474,N200700034,1
475,N200700320,1
476,N200700792,3
477,N200700910,1
478,N200701005,1
479,N200701109,1
480,N200701131,1
481,N200701143,1
482,N200701843,1
483,N200701980,3
484,N200701997,1
485,N200702163,2
486,N200702440,1
487,N200702544,3
488,N200702545,1
489,N200702658,1
490,N200702703,1
491,N200702732,1
492,N200702769,1
493,N200702938,1
494,N200703362,1
495,N200703521,1
496,N200703918,1
497,N200703992,1
498,N200704210,1
499,N200704267,1
500,N200704284,1
501,N200704463,2
502,N200704779,1
503,N200704830,1
504,N200704863,1
505,N200705051,0
506,N200705092,3
507,N200705167,1
508,N200705173,1
509,N200705208,1
510,N200705418,1
511,N200705474,1
512,N200705574,1
513,N200706143,1
514,N200706323,3
515,N200706622,3
516,N200706627,1
517,N200706723,2
518,N200706739,1
519,N200800316,1
520,N200800424,3
521,N200800434,1
522,N200800840,0
523,N200801103,1
524,N200801154,3
525,N200801252,1
526,N200801541,3
527,N200801793,1
528,N200801968,1
529,N200802092,1
530,N200802103,1
531,N200802153,3
532,N200802170,1
533,N200802194,3
534,N200802253,1
535,N200802272,1
536,N200802472,1
537,N200802642,1
538,N200802677,1
539,N200802685,1
540,N200802745,1
541,N200802981,3
542,N200803004,3
543,N200803057,1
544,N200803069,1
545,N200803093,3
546,N200803161,3
547,N200803240,1
548,N200803270,1
549,N200803346,1
550,N200803429,1
551,N200803440,1
552,N200803561,1
553,N200803643,3
554,N200803811,1
555,N200803888,1
556,N200804219,2
557,N200804357,3
558,N200804423,1
559,N200804508,1
560,N200804605,1
561,N200804636,1
562,N200804671,1
563,N200804686,1
564,N200804849,1
565,N200804943,1
566,N200805059,1
567,N200805418,3
568,N200805520,1
569,N200805703,3
570,N200805808,1
571,N200805859,1
572,N200805948,1
573,N200805994,3
574,N200806103,1
575,N200806337,3
576,N200806496,3
577,N200806716,1
578,N200900115,1
579,N200900214,3
580,N200900243,1
581,N200900279,0
582,N200900305,1
583,N200900366,1
584,N200900380,1
585,N200900532,1
586,N200900664,1
587,N200900888,1
588,N200901422,1
589,N200901536,1
590,N200901563,1
591,N200901613,1
592,N200901615,1
593,N200901681,1
594,N200901812,1
595,N200901835,3
596,N200902024,1
597,N200902036,1
598,N200902462,1
599,N200902648,1
600,N200902650,0
601,N200902679,1
602,N200902716,1
603,N200902874,0
604,N200902975,1
605,N200903137,1
606,N200903158,1
607,N200903189,1
608,N200903250,1
609,N200903418,1
610,N200903552,1
611,N200903602,1
612,N200903723,2
613,N200903761,3
614,N200903788,1
615,N200903829,1
616,N200903854,1
617,N200903897,3
618,N200904024,3
619,N200904035,1
620,N200904151,1
621,N200904254,3
622,N200904257,1
623,N200904592,3
624,N200904623,1
625,N200904694,1
626,N200904705,1
627,N200904818,1
628,N200904865,1
629,N200904972,3
630,N200905043,0
631,N200905091,1
632,N200905191,0
633,N200905416,1
634,N200905446,3
635,N200905507,1
636,N200905749,0
637,N200905763,1
638,N200905777,1
639,N200906032,1
640,N200906200,0
641,N200906275,1
642,N200906362,1
643,N200906492,2
644,N200906515,1
645,N200906648,1
646,N200906679,1
647,N200906686,1
648,N200906719,1
649,N201000011,1
650,N201000080,1
651,N201000156,1
652,N201000185,1
653,N201000196,1
654,N201000213,1
655,N201000411,1
656,N201000426,0
657,N201000619,1
658,N201000626,1
659,N201000781,1
660,N201000783,1
661,N201000793,1
662,N201000858,3
663,N201000969,3
664,N201001103,1
665,N201001128,1
666,N201001352,1
667,N201001413,3
668,N201001541,1
669,N201001586,1
670,N201001701,1
671,N201001739,3
672,N201001892,1
673,N201002078,1
674,N201002084,1
675,N201002419,1
676,N201002603,1
677,N201002815,1
678,N201002853,1
679,N201002871,3
680,N201002874,1
681,N201002896,1
682,N201002993,1
683,N201003036,1
684,N201003049,1
685,N201003098,1
686,N201003174,1
687,N201003191,1
