,NIP,Cl_P
0,N198300511,2
1,N198302025,1
2,N198302546,0
3,N198303963,2
4,N198401875,1
5,N198403316,2
6,N198410788,2
7,N198412339,0
8,N198502208,2
9,N198507945,0
10,N198510292,3
11,N198600228,2
12,N198600847,0
13,N198600899,2
14,N198601213,2
15,N198700065,3
16,N198701208,2
17,N198702410,2
18,N198704237,3
19,N198706532,0
20,N198806015,1
21,N198900219,0
22,N198901701,2
23,N198902201,0
24,N198902913,2
25,N198903744,1
26,N198905293,2
27,N198906785,1
28,N199006074,2
29,N199100051,1
30,N199100865,2
31,N199106382,2
32,N199200959,2
33,N199202365,2
34,N199300284,1
35,N199301061,2
36,N199301601,1
37,N199302118,0
38,N199402356,0
39,N199402447,2
40,N199402901,0
41,N199500115,0
42,N199501208,3
43,N199501223,0
44,N199503168,1
45,N199602363,3
46,N199701151,1
47,N199701601,1
48,N199702270,0
49,N199702998,2
50,N199703831,2
51,N199703916,2
52,N199704012,1
53,N199704298,3
54,N199800296,2
55,N199801868,1
56,N199802197,2
57,N199802420,0
58,N199803949,0
59,N199804148,0
60,N199804183,3
61,N199900263,1
62,N199900994,1
63,N199901170,1
64,N199903205,2
65,N199904079,0
66,N200000242,2
67,N200000372,1
68,N200000791,0
69,N200004345,3
70,N200100036,3
71,N200102464,0
72,N200102831,0
73,N200104074,0
74,N200200029,1
75,N200200426,2
76,N200200514,3
77,N200200738,2
78,N200200756,0
79,N200201750,2
80,N200201832,2
81,N200201878,0
82,N200204146,2
83,N200204219,0
84,N200301118,1
85,N200301671,2
86,N200302044,0
87,N200302052,2
88,N200302575,0
89,N200302801,0
90,N200303022,2
91,N200303315,2
92,N200303600,0
93,N200303693,1
94,N200303812,2
95,N200304007,2
96,N200304353,0
97,N200400049,2
98,N200400050,2
99,N200400662,1
100,N200401550,0
101,N200401653,0
102,N200401716,2
103,N200403465,0
104,N200404325,2
105,N200500254,0
106,N200500467,1
107,N200500832,0
108,N200501731,2
109,N200502077,3
110,N200503450,0
111,N200504397,2
112,N200504401,2
113,N200504430,1
114,N200504495,2
115,N200505297,0
116,N200600654,2
117,N200600743,2
118,N200600755,0
119,N200600841,0
120,N200601293,1
121,N200601652,2
122,N200601727,3
123,N200601943,1
124,N200603230,0
125,N200603450,2
126,N200604577,1
127,N200604992,1
128,N200605555,1
129,N200605727,0
130,N200700792,1
131,N200701005,0
132,N200701843,3
133,N200701980,2
134,N200702163,2
135,N200702440,2
136,N200702658,0
137,N200702703,1
138,N200702938,0
139,N200703362,1
140,N200704463,2
141,N200704779,0
142,N200705092,2
143,N200706622,2
144,N200706627,3
145,N200800424,3
146,N200801154,1
147,N200801968,0
148,N200802092,0
149,N200802103,0
150,N200802194,2
151,N200802253,0
152,N200802677,2
153,N200802981,2
154,N200803270,0
155,N200804605,0
156,N200804671,1
157,N200804686,1
158,N200805703,2
159,N200806103,0
160,N200806496,1
161,N200900366,0
162,N200900380,2
163,N200901835,2
164,N200902650,1
165,N200902874,1
166,N200902975,0
167,N200903137,2
168,N200903189,0
169,N200903552,0
170,N200903761,1
171,N200903854,2
172,N200903897,2
173,N200904151,3
174,N200904254,2
175,N200904592,3
176,N200904623,2
177,N200904705,1
178,N200904972,2
179,N200905043,1
180,N200905446,3
181,N200905507,1
182,N200905749,2
183,N200906032,0
184,N200906515,2
185,N201000080,2
186,N201000858,1
187,N201000969,3
188,N201001128,0
189,N201002853,0
190,N201003278,2
191,N201003966,2
192,N201004076,2
193,N201004260,2
194,N201005274,2
195,N201005482,3
196,N201005921,1
197,N201006229,2
198,N201006713,0
199,N201006915,3
200,N201006939,2
201,N201100170,2
202,N201100250,2
203,N201100365,0
204,N201101562,0
205,N201101571,2
206,N201101601,1
207,N201102006,3
208,N201102217,3
209,N201102366,3
210,N201102487,1
211,N201103278,1
212,N201104285,1
213,N201105263,2
214,N201105651,0
215,N201105723,2
216,N201105767,2
217,N201106594,0
218,N201106645,2
219,N201106775,2
220,N201106871,2
221,N201200301,2
222,N201200611,2
223,N201200769,0
224,N201201037,2
225,N201201591,1
226,N201201727,0
227,N201201762,3
228,N201201829,1
229,N201201911,2
230,N201201963,2
231,N201201971,0
232,N201201997,2
233,N201202367,2
234,N201202658,1
235,N201202930,3
236,N201203081,0
237,N201203100,0
238,N201203201,2
239,N201203378,2
240,N201203646,2
241,N201203710,2
242,N201203856,2
243,N201204042,1
244,N201204512,0
245,N201204874,2
246,N201204984,3
247,N201205073,1
248,N201205149,2
249,N201205438,0
250,N201205688,0
251,N201205846,0
252,N201205940,0
253,N201206329,2
254,N201206459,1
255,N201206576,0
256,N201206935,1
257,N201300982,2
258,N201300990,2
259,N201301183,0
260,N201301403,0
261,N201302006,2
262,N201302471,1
263,N201302780,3
264,N201303503,0
265,N201303568,3
266,N201303893,0
267,N201304153,2
268,N201304212,1
269,N201304295,1
270,N201304431,0
271,N201304664,2
272,N201304742,2
273,N201304833,0
274,N201304875,0
275,N201305180,2
276,N201305357,3
277,N201305580,2
278,N201305679,0
279,N201305765,3
280,N201305983,1
281,N201305984,2
282,N201306174,1
283,N201306207,2
284,N201306481,0
285,N201306912,3
286,N201307216,2
287,N201307363,1
288,N201307572,1
289,N201307669,1
290,N201307968,2
291,N201308004,2
292,N201400002,0
293,N201400228,0
294,N201400337,2
295,N201400367,0
296,N201400750,1
297,N201400893,0
298,N201401154,0
299,N201401267,2
300,N201401275,0
301,N201401399,0
302,N201401767,1
303,N201401810,0
304,N201401944,1
305,N201402225,1
306,N201402294,0
307,N201402369,2
308,N201402450,2
309,N201402464,0
310,N201402594,3
311,N201402654,2
312,N201402747,2
313,N201402857,1
314,N201402874,0
315,N201403201,2
316,N201403231,2
317,N201403279,0
