,NIP,Cl_Parcours1,Cl_T1,X_abscisse
841,N201806643,0.0,0.0,0.10438413361169102
907,N201807350,0.0,0.0,0.20876826722338204
60,N200200756,0.0,0.0,0.31315240083507306
96,N200603230,0.0,0.0,0.4175365344467641
37,N199702270,0.0,0.0,0.5219206680584552
287,N201502433,0.0,0.0,0.6263048016701462
6,N198507945,0.0,0.0,0.7306889352818373
884,N201807068,0.0,0.0,0.8350730688935284
70,N200302801,0.0,0.0,0.9394572025052195
803,N201806418,0.0,0.0,1.0438413361169105
927,N201900011,0.0,0.0,1.1482254697286016
355,N201602984,0.0,0.0,1.2526096033402927
724,N201805475,0.0,0.0,1.3569937369519838
658,N201804656,0.0,0.0,1.4613778705636749
713,N201805326,0.0,0.0,1.565762004175366
887,N201807091,0.0,0.0,1.670146137787057
929,N201900013,0.0,0.0,1.774530271398748
763,N201805962,0.0,0.0,1.8789144050104392
935,N201900019,0.0,0.0,1.9832985386221302
88,N200505297,0.0,0.0,2.087682672233821
33,N199501223,0.0,0.0,2.192066805845512
195,N201205438,0.0,0.0,2.2964509394572032
113,N200801968,0.0,0.0,2.4008350730688943
274,N201407205,0.0,0.0,2.5052192066805854
54,N200102464,0.0,0.0,2.6096033402922765
283,N201501685,0.0,0.0,2.7139874739039676
121,N200804605,0.0,0.0,2.8183716075156586
28,N199302118,0.0,0.0,2.9227557411273497
167,N201105651,0.0,0.0,3.027139874739041
264,N201405678,0.0,0.0,3.131524008350732
158,N201100365,0.0,0.0,3.235908141962423
936,N201900020,0.0,0.0,3.340292275574114
449,N201705512,0.0,0.0,3.444676409185805
238,N201401154,0.0,0.0,3.549060542797496
561,N201802626,0.0,0.0,3.6534446764091872
904,N201807316,0.0,0.0,3.7578288100208783
217,N201304875,0.0,0.0,3.8622129436325694
709,N201805301,0.0,0.0,3.9665970772442605
671,N201804883,0.0,0.0,4.070981210855951
849,N201806731,0.0,0.0,4.175365344467642
930,N201900014,0.0,0.0,4.279749478079333
940,N201900024,0.0,0.0,4.384133611691024
2,N198302546,0.0,0.0,4.488517745302715
723,N201805471,0.0,0.0,4.5929018789144065
729,N201805554,0.0,0.0,4.697286012526098
738,N201805647,0.0,0.0,4.801670146137789
861,N201806831,0.0,0.0,4.90605427974948
773,N201806114,0.0,0.0,5.010438413361171
