,NIP,Cl_Parcours1,Cl_T1,X_abscisse
152,N201004260,0.0,0.0,0.10438413361169102
280,N201500989,0.0,0.0,0.20876826722338204
257,N201403980,0.0,0.0,0.31315240083507306
407,N201702120,0.0,0.0,0.4175365344467641
151,N201004076,0.0,0.0,0.5219206680584552
247,N201402747,0.0,0.0,0.6263048016701462
444,N201705136,0.0,0.0,0.7306889352818373
392,N201700726,0.0,0.0,0.8350730688935284
282,N201501680,0.0,0.0,0.9394572025052195
163,N201102366,0.0,0.0,1.0438413361169105
495,N201800742,0.0,0.0,1.1482254697286016
488,N201800152,0.0,0.0,1.2526096033402927
397,N201701219,0.0,0.0,1.3569937369519838
394,N201700829,0.0,0.0,1.4613778705636749
335,N201601477,0.0,0.0,1.565762004175366
74,N200303812,0.0,0.0,1.670146137787057
365,N201604693,0.0,0.0,1.774530271398748
433,N201704034,0.0,0.0,1.8789144050104392
478,N201707102,0.0,0.0,1.9832985386221302
450,N201705552,0.0,0.0,2.087682672233821
403,N201701589,0.0,0.0,2.192066805845512
480,N201707224,0.0,0.0,2.2964509394572032
577,N201803002,0.0,0.0,2.4008350730688943
621,N201803999,0.0,0.0,2.5052192066805854
252,N201403696,0.0,0.0,2.6096033402922765
207,N201302471,0.0,0.0,2.7139874739039676
206,N201302006,0.0,0.0,2.8183716075156586
218,N201305180,0.0,0.0,2.9227557411273497
309,N201504609,0.0,0.0,3.027139874739041
408,N201702132,0.0,0.0,3.131524008350732
108,N200704463,0.0,0.0,3.235908141962423
454,N201705921,0.0,0.0,3.340292275574114
456,N201706031,0.0,0.0,3.444676409185805
156,N201006915,0.0,0.0,3.549060542797496
448,N201705402,0.0,0.0,3.6534446764091872
373,N201605814,0.0,0.0,3.7578288100208783
587,N201803298,0.0,0.0,3.8622129436325694
413,N201702618,0.0,0.0,3.9665970772442605
269,N201406431,0.0,0.0,4.070981210855951
505,N201801174,0.0,0.0,4.175365344467642
439,N201704685,0.0,0.0,4.279749478079333
22,N199100865,0.0,0.0,4.384133611691024
618,N201803897,0.0,0.0,4.488517745302715
331,N201601079,0.0,0.0,4.5929018789144065
385,N201606838,0.0,0.0,4.697286012526098
543,N201802258,0.0,0.0,4.801670146137789
346,N201602351,0.0,0.0,4.90605427974948
230,N201307572,0.0,0.0,5.010438413361171
524,N201801774,0.0,0.0,5.114822546972862
311,N201504734,0.0,0.0,5.219206680584553
518,N201801651,0.0,0.0,5.323590814196244
597,N201803500,0.0,0.0,5.427974947807935
372,N201605700,0.0,0.0,5.532359081419626
471,N201706727,0.0,0.0,5.636743215031317
281,N201501000,0.0,0.0,5.741127348643008
171,N201106775,0.0,0.0,5.845511482254699
249,N201403201,0.0,0.0,5.9498956158663905
395,N201700901,0.0,0.0,6.054279749478082
443,N201705133,0.0,0.0,6.158663883089773
487,N201800109,0.0,0.0,6.263048016701464
481,N201707227,0.0,0.0,6.367432150313155
401,N201701489,0.0,0.0,6.471816283924846
64,N200204146,0.0,0.0,6.576200417536537
719,N201805388,0.0,0.0,6.680584551148228
339,N201601580,0.0,0.0,6.784968684759919
378,N201606233,0.0,0.0,6.88935281837161
172,N201106871,0.0,0.0,6.993736951983301
310,N201504689,0.0,0.0,7.098121085594992
486,N201800055,0.0,0.0,7.202505219206683
575,N201802938,0.0,0.0,7.3068893528183745
507,N201801296,0.0,0.0,7.411273486430066
434,N201704130,0.0,0.0,7.515657620041757
442,N201705121,0.0,0.0,7.620041753653448
509,N201801322,0.0,0.0,7.724425887265139
262,N201404628,0.0,0.0,7.82881002087683
476,N201707031,0.0,0.0,7.933194154488521
100,N200605555,0.0,0.0,8.037578288100212
278,N201500660,0.0,0.0,8.141962421711902
94,N200601652,0.0,0.0,8.246346555323592
466,N201706483,0.0,0.0,8.350730688935283
334,N201601334,0.0,0.0,8.455114822546973
180,N201201829,0.0,0.0,8.559498956158663
599,N201803528,0.0,0.0,8.663883089770353
447,N201705382,0.0,0.0,8.768267223382043
571,N201802856,0.0,0.0,8.872651356993734
580,N201803073,0.0,0.0,8.977035490605424
215,N201304742,0.0,0.0,9.081419624217114
704,N201805263,0.0,0.0,9.185803757828804
576,N201802947,0.0,0.0,9.290187891440494
579,N201803066,0.0,0.0,9.394572025052184
438,N201704660,0.0,0.0,9.498956158663875
226,N201306207,0.0,0.0,9.603340292275565
275,N201407417,0.0,0.0,9.707724425887255
150,N201003278,0.0,0.0,9.812108559498945
414,N201702654,0.0,0.0,9.916492693110635
396,N201701045,0.0,0.0,10.020876826722326
581,N201803093,0.0,0.0,10.125260960334016
707,N201805285,0.0,0.0,10.229645093945706
431,N201703918,0.0,0.0,10.334029227557396
303,N201503990,0.0,0.0,10.438413361169086
157,N201006939,0.0,0.0,10.542797494780777
308,N201504323,0.0,0.0,10.647181628392467
243,N201402369,0.0,0.0,10.751565762004157
187,N201203378,0.0,0.0,10.855949895615847
105,N200701980,0.0,0.0,10.960334029227537
