,NIP,Cl_Parcours1,Cl_T1,X_abscisse
390,N201804420,0.0,0.0,0.16863406408094436
311,N201802158,0.0,1.0,0.3372681281618887
362,N201803684,0.0,1.0,0.5059021922428331
355,N201803561,0.0,1.0,0.6745362563237775
360,N201803672,0.0,1.0,0.8431703204047218
379,N201804171,0.0,3.0,1.0118043844856661
401,N201804697,0.0,3.0,1.1804384485666104
385,N201804362,0.0,3.0,1.3490725126475547
419,N201805127,0.0,3.0,1.517706576728499
396,N201804632,0.0,3.0,1.6863406408094432
389,N201804401,0.0,3.0,1.8549747048903875
435,N201805304,0.0,3.0,2.023608768971332
372,N201803904,0.0,3.0,2.1922428330522763
394,N201804586,0.0,3.0,2.360876897133221
411,N201804956,0.0,3.0,2.5295109612141653
440,N201805448,0.0,3.0,2.69814502529511
474,N201806067,0.0,3.0,2.8667790893760543
542,N201806805,0.0,3.0,3.035413153456999
559,N201807130,0.0,3.0,3.2040472175379433
375,N201804085,1.0,0.0,3.372681281618888
518,N201806561,1.0,0.0,3.5413153456998323
66,N200804605,1.0,0.0,3.709949409780777
218,N201701045,1.0,0.0,3.8785834738617213
107,N201203378,1.0,0.0,4.047217537942665
544,N201806883,1.0,0.0,4.215851602023609
420,N201805132,1.0,0.0,4.3844856661045535
2,N198502208,1.0,0.0,4.5531197301854975
409,N201804923,1.0,0.0,4.721753794266442
135,N201401154,1.0,0.0,4.890387858347386
50,N200603450,1.0,0.0,5.05902192242833
77,N200904972,1.0,0.0,5.227655986509274
126,N201305580,1.0,0.0,5.396290050590218
416,N201805109,1.0,0.0,5.564924114671162
466,N201805934,1.0,0.0,5.733558178752106
570,N201807368,1.0,0.0,5.90219224283305
568,N201807316,1.0,0.0,6.070826306913994
123,N201304875,1.0,0.0,6.239460370994938
424,N201805195,1.0,0.0,6.408094435075882
434,N201805301,1.0,0.0,6.576728499156826
37,N200302052,1.0,0.0,6.74536256323777
550,N201807023,1.0,0.0,6.913996627318714
109,N201203856,1.0,0.0,7.082630691399658
373,N201803976,1.0,0.0,7.2512647554806025
537,N201806731,1.0,0.0,7.4198988195615465
589,N201900014,1.0,0.0,7.588532883642491
495,N201806365,1.0,0.0,7.757166947723435
432,N201805284,1.0,0.0,7.925801011804379
11,N199006074,1.0,0.0,8.094435075885324
115,N201206329,1.0,0.0,8.263069139966268
442,N201805471,1.0,0.0,8.431703204047212
139,N201402450,1.0,0.0,8.600337268128156
67,N200805703,1.0,0.0,8.7689713322091
72,N200903854,1.0,0.0,8.937605396290044
450,N201805647,1.0,0.0,9.106239460370988
476,N201806114,1.0,0.0,9.274873524451932
487,N201806271,1.0,0.0,9.443507588532876
496,N201806370,1.0,0.0,9.61214165261382
535,N201806717,1.0,0.0,9.780775716694764
517,N201806548,1.0,0.0,9.949409780775708
583,N201900008,1.0,0.0,10.118043844856652
493,N201806343,1.0,0.0,10.286677908937596
571,N201807376,1.0,0.0,10.45531197301854
157,N201501838,1.0,0.0,10.623946037099484
226,N201702758,1.0,0.0,10.792580101180429
508,N201806486,1.0,0.0,10.961214165261373
516,N201806528,1.0,0.0,11.129848229342317
101,N201201727,1.0,0.0,11.29848229342326
549,N201806946,1.0,0.0,11.467116357504205
558,N201807105,1.0,0.0,11.635750421585149
567,N201807295,1.0,0.0,11.804384485666093
551,N201807030,1.0,0.0,11.973018549747037
61,N200802103,1.0,0.0,12.141652613827981
575,N201807452,1.0,0.0,12.310286677908925
582,N201900007,1.0,0.0,12.47892074198987
31,N200102831,1.0,0.0,12.647554806070813
85,N201006713,1.0,0.0,12.816188870151757
576,N201900001,1.0,0.0,12.984822934232701
578,N201900003,1.0,0.0,13.153456998313645
580,N201900005,1.0,0.0,13.32209106239459
584,N201900009,1.0,0.0,13.490725126475533
585,N201900010,1.0,0.0,13.659359190556478
587,N201900012,1.0,0.0,13.827993254637422
264,N201800012,1.0,1.0,13.996627318718366
106,N201203100,1.0,1.0,14.16526138279931
60,N200802092,1.0,1.0,14.333895446880254
131,N201307669,1.0,1.0,14.502529510961198
238,N201704974,1.0,1.0,14.671163575042142
74,N200904151,1.0,1.0,14.839797639123086
234,N201704212,1.0,1.0,15.00843170320403
177,N201506765,1.0,1.0,15.177065767284974
191,N201601947,1.0,1.0,15.345699831365918
220,N201701652,1.0,1.0,15.514333895446862
227,N201702935,1.0,1.0,15.682967959527806
30,N200000791,1.0,1.0,15.85160202360875
47,N200600841,1.0,1.0,16.020236087689696
117,N201303568,1.0,1.0,16.18887015177064
125,N201305357,1.0,1.0,16.357504215851584
251,N201706288,1.0,1.0,16.52613827993253
210,N201605830,1.0,1.0,16.694772344013472
259,N201707096,1.0,1.0,16.863406408094416
196,N201602884,1.0,1.0,17.03204047217536
147,N201403762,1.0,1.0,17.200674536256304
76,N200904623,1.0,1.0,17.36930860033725
148,N201403835,1.0,1.0,17.537942664418193
233,N201704012,1.0,1.0,17.706576728499137
200,N201604050,1.0,1.0,17.87521079258008
141,N201402594,1.0,1.0,18.043844856661025
120,N201304664,1.0,1.0,18.21247892074197
89,N201102217,1.0,1.0,18.381112984822913
208,N201605504,1.0,1.0,18.549747048903857
255,N201706598,1.0,1.0,18.7183811129848
78,N200905507,1.0,1.0,18.887015177065745
236,N201704399,1.0,1.0,19.05564924114669
29,N200000372,1.0,1.0,19.224283305227633
244,N201705694,1.0,1.0,19.392917369308577
25,N199900994,1.0,1.0,19.56155143338952
41,N200400662,1.0,1.0,19.730185497470465
105,N201202930,1.0,1.0,19.89881956155141
146,N201403736,1.0,1.0,20.067453625632353
161,N201502685,1.0,1.0,20.236087689713298
205,N201604744,1.0,1.0,20.40472175379424
5,N198600899,1.0,1.0,20.573355817875186
46,N200600743,1.0,1.0,20.74198988195613
62,N200802194,1.0,1.0,20.910623946037074
70,N200900380,1.0,1.0,21.079258010118018
34,N200201832,1.0,1.0,21.247892074198962
42,N200500254,1.0,1.0,21.416526138279906
248,N201706065,1.0,1.0,21.58516020236085
92,N201104285,1.0,1.0,21.753794266441794
7,N198704237,1.0,1.0,21.922428330522738
127,N201305679,1.0,1.0,22.091062394603682
277,N201801031,1.0,1.0,22.259696458684626
169,N201504281,1.0,1.0,22.42833052276557
279,N201801154,1.0,1.0,22.596964586846514
26,N199901170,1.0,1.0,22.76559865092746
273,N201800768,1.0,1.0,22.934232715008402
283,N201801356,1.0,1.0,23.102866779089346
289,N201801517,1.0,1.0,23.27150084317029
118,N201304212,1.0,1.0,23.440134907251235
104,N201202658,1.0,1.0,23.60876897133218
293,N201801710,1.0,1.0,23.777403035413123
164,N201503063,1.0,1.0,23.946037099494067
128,N201305765,1.0,1.0,24.11467116357501
133,N201400750,1.0,1.0,24.283305227655955
193,N201602241,1.0,1.0,24.4519392917369
27,N199904079,1.0,1.0,24.620573355817843
38,N200302575,1.0,1.0,24.789207419898787
108,N201203646,1.0,1.0,24.95784148397973
195,N201602880,1.0,1.0,25.126475548060675
159,N201502656,1.0,1.0,25.29510961214162
114,N201205940,1.0,1.0,25.463743676222563
274,N201800808,1.0,1.0,25.632377740303507
137,N201401275,1.0,1.0,25.80101180438445
130,N201306481,1.0,1.0,25.969645868465395
203,N201604425,1.0,1.0,26.13827993254634
231,N201703896,1.0,1.0,26.306913996627284
235,N201704292,1.0,1.0,26.475548060708228
310,N201802143,1.0,1.0,26.64418212478917
19,N199701151,1.0,1.0,26.812816188870116
256,N201706823,1.0,1.0,26.98145025295106
304,N201801958,1.0,1.0,27.150084317032004
292,N201801668,1.0,1.0,27.318718381112948
201,N201604116,1.0,1.0,27.487352445193892
160,N201502664,1.0,1.0,27.655986509274836
316,N201802363,1.0,1.0,27.82462057335578
184,N201600746,1.0,1.0,27.993254637436724
48,N200601293,1.0,1.0,28.161888701517668
287,N201801476,1.0,1.0,28.330522765598612
271,N201800626,1.0,1.0,28.499156829679556
63,N200802253,1.0,1.0,28.6677908937605
318,N201802424,1.0,1.0,28.836424957841444
174,N201505841,1.0,1.0,29.00505902192239
98,N201200769,1.0,1.0,29.173693086003333
209,N201605563,1.0,1.0,29.342327150084277
308,N201802083,1.0,1.0,29.51096121416522
33,N200201750,1.0,1.0,29.679595278246165
254,N201706511,1.0,1.0,29.84822934232711
132,N201400337,1.0,1.0,30.016863406408053
239,N201705029,1.0,1.0,30.185497470488997
327,N201802676,1.0,1.0,30.35413153456994
317,N201802410,1.0,1.0,30.522765598650885
153,N201500553,1.0,1.0,30.69139966273183
297,N201801798,1.0,1.0,30.860033726812773
182,N201600522,1.0,1.0,31.028667790893717
80,N201000969,1.0,1.0,31.19730185497466
286,N201801472,1.0,1.0,31.365935919055605
151,N201405759,1.0,1.0,31.53456998313655
100,N201201591,1.0,1.0,31.703204047217493
112,N201205073,1.0,1.0,31.871838111298437
136,N201401267,1.0,1.0,32.040472175379385
261,N201707219,1.0,1.0,32.20910623946033
309,N201802127,1.0,1.0,32.37774030354128
285,N201801450,1.0,1.0,32.54637436762223
213,N201606455,1.0,1.0,32.715008431703176
246,N201706024,1.0,1.0,32.88364249578412
299,N201801854,1.0,1.0,33.05227655986507
58,N200706622,1.0,1.0,33.22091062394602
15,N199301601,1.0,1.0,33.389544688026966
275,N201800865,1.0,1.0,33.558178752107914
294,N201801734,1.0,1.0,33.72681281618886
347,N201803415,1.0,1.0,33.89544688026981
198,N201603181,1.0,1.0,34.064080944350756
331,N201802777,1.0,1.0,34.232715008431704
122,N201304833,1.0,1.0,34.40134907251265
319,N201802506,1.0,1.0,34.5699831365936
326,N201802653,1.0,1.0,34.73861720067455
344,N201803283,1.0,1.0,34.907251264755494
145,N201403231,1.0,1.0,35.07588532883644
288,N201801509,1.0,1.0,35.24451939291739
341,N201803187,1.0,1.0,35.41315345699834
83,N201005274,1.0,1.0,35.581787521079285
179,N201506900,1.0,1.0,35.75042158516023
364,N201803763,1.0,1.0,35.91905564924118
342,N201803204,1.0,1.0,36.08768971332213
369,N201803804,1.0,1.0,36.256323777403075
167,N201503922,1.0,1.0,36.42495784148402
215,N201700487,1.0,1.0,36.59359190556497
250,N201706142,1.0,1.0,36.76222596964592
307,N201802002,1.0,1.0,36.930860033726866
349,N201803420,1.0,1.0,37.09949409780781
36,N200301671,1.0,1.0,37.26812816188876
306,N201801987,1.0,1.0,37.43676222596971
358,N201803635,1.0,1.0,37.605396290050656
305,N201801960,1.0,1.0,37.774030354131604
298,N201801840,1.0,1.0,37.94266441821255
335,N201802929,1.0,1.0,38.1112984822935
91,N201102487,1.0,1.0,38.27993254637445
12,N199106382,1.0,1.0,38.448566610455394
334,N201802894,1.0,1.0,38.61720067453634
119,N201304295,1.0,1.0,38.78583473861729
152,N201407093,1.0,1.0,38.95446880269824
322,N201802532,1.0,1.0,39.123102866779185
165,N201503259,1.0,1.0,39.29173693086013
138,N201402294,1.0,1.0,39.46037099494108
53,N200701843,1.0,1.0,39.62900505902203
353,N201803465,1.0,1.0,39.797639123102975
158,N201502590,1.0,1.0,39.96627318718392
116,N201206459,1.0,1.0,40.13490725126487
113,N201205149,1.0,1.0,40.30354131534582
95,N201106594,1.0,1.0,40.472175379426766
194,N201602601,1.0,1.0,40.64080944350771
363,N201803721,1.0,1.0,40.80944350758866
357,N201803632,1.0,1.0,40.97807757166961
351,N201803450,1.0,1.0,41.146711635750556
380,N201804215,1.0,1.0,41.315345699831504
52,N200701005,1.0,1.0,41.48397976391245
219,N201701530,1.0,1.0,41.6526138279934
333,N201802863,1.0,1.0,41.82124789207435
328,N201802694,1.0,1.0,41.989881956155294
338,N201803028,1.0,1.0,42.15851602023624
343,N201803255,1.0,1.0,42.32715008431719
207,N201605319,1.0,1.0,42.49578414839814
68,N200806496,1.0,1.0,42.664418212479085
348,N201803419,1.0,1.0,42.83305227656003
43,N200501731,1.0,1.0,43.00168634064098
361,N201803679,1.0,1.0,43.17032040472193
56,N200702938,1.0,1.0,43.338954468802875
199,N201603355,1.0,1.0,43.50758853288382
14,N199301061,1.0,1.0,43.67622259696477
163,N201503003,1.0,1.0,43.84485666104572
150,N201404118,1.0,1.0,44.013490725126665
257,N201706982,1.0,1.0,44.18212478920761
134,N201400893,1.0,1.0,44.35075885328856
258,N201706998,1.0,1.0,44.51939291736951
228,N201703472,1.0,1.0,44.688026981450456
180,N201507075,1.0,1.0,44.8566610455314
51,N200604577,1.0,1.0,45.02529510961235
88,N201101562,1.0,1.0,45.1939291736933
295,N201801746,1.0,1.0,45.362563237774246
32,N200200738,1.0,1.0,45.531197301855194
202,N201604178,1.0,2.0,45.69983136593614
176,N201506622,1.0,2.0,45.86846543001709
211,N201606340,1.0,2.0,46.03709949409804
140,N201402464,1.0,2.0,46.205733558178984
155,N201500989,1.0,2.0,46.37436762225993
149,N201403980,1.0,2.0,46.54300168634088
223,N201702120,1.0,2.0,46.71163575042183
110,N201204512,1.0,2.0,46.880269814502775
82,N201004076,1.0,2.0,47.04890387858372
142,N201402747,1.0,2.0,47.21753794266467
216,N201700726,1.0,2.0,47.38617200674562
90,N201102366,1.0,2.0,47.554806070826565
272,N201800742,1.0,2.0,47.72344013490751
268,N201800152,1.0,2.0,47.89207419898846
187,N201601477,1.0,2.0,48.06070826306941
204,N201604693,1.0,2.0,48.229342327150356
260,N201707102,1.0,2.0,48.3979763912313
262,N201707224,1.0,2.0,48.56661045531225
1,N198412339,1.0,2.0,48.7352445193932
124,N201305180,1.0,2.0,48.903878583474146
245,N201705921,1.0,2.0,49.072512647555094
247,N201706031,1.0,2.0,49.24114671163604
329,N201802708,1.0,2.0,49.40978077571699
86,N201006915,1.0,2.0,49.57841483979794
345,N201803298,1.0,2.0,49.747048903878884
224,N201702618,1.0,2.0,49.91568296795983
24,N199804148,1.0,2.0,50.08431703204078
281,N201801309,1.0,2.0,50.25295109612173
237,N201704685,1.0,2.0,50.421585160202675
188,N201601495,1.0,2.0,50.59021922428362
9,N198902201,1.0,2.0,50.75885328836457
186,N201601079,1.0,2.0,50.92748735244552
313,N201802258,1.0,2.0,51.096121416526465
230,N201703729,1.0,2.0,51.26475548060741
296,N201801774,1.0,2.0,51.43338954468836
172,N201504734,1.0,2.0,51.60202360876931
291,N201801651,1.0,2.0,51.770657672850255
354,N201803500,1.0,2.0,51.9392917369312
96,N201106775,1.0,2.0,52.10792580101215
144,N201403201,1.0,2.0,52.2765598650931
217,N201700901,1.0,2.0,52.445193929174046
241,N201705133,1.0,2.0,52.61382799325499
267,N201800109,1.0,2.0,52.78246205733594
263,N201707227,1.0,2.0,52.95109612141689
35,N200204146,1.0,2.0,53.119730185497836
69,N200900366,1.0,2.0,53.288364249578784
97,N201106871,1.0,2.0,53.45699831365973
171,N201504689,1.0,2.0,53.62563237774068
266,N201800055,1.0,2.0,53.79426644182163
336,N201802938,1.0,2.0,53.962900505902574
280,N201801296,1.0,2.0,54.13153456998352
240,N201705121,1.0,2.0,54.30016863406447
282,N201801322,1.0,2.0,54.46880269814542
154,N201500660,1.0,2.0,54.637436762226365
49,N200601652,1.0,2.0,54.80607082630731
252,N201706483,1.0,2.0,54.97470489038826
102,N201201829,1.0,2.0,55.14333895446921
269,N201800199,1.0,2.0,55.311973018550155
332,N201802856,1.0,2.0,55.4806070826311
339,N201803073,1.0,2.0,55.64924114671205
121,N201304742,1.0,2.0,55.817875210793
321,N201802529,1.0,2.0,55.986509274873946
337,N201802947,1.0,2.0,56.15514333895489
129,N201306207,1.0,2.0,56.32377740303584
8,N198706532,1.0,2.0,56.49241146711679
81,N201003278,1.0,2.0,56.661045531197736
225,N201702654,1.0,2.0,56.829679595278684
232,N201703918,1.0,2.0,56.99831365935963
168,N201503990,1.0,2.0,57.16694772344058
87,N201006939,1.0,2.0,57.33558178752153
170,N201504323,1.0,2.0,57.504215851602474
54,N200701980,1.0,2.0,57.67284991568342
265,N201800053,1.0,2.0,57.84148397976437
189,N201601533,1.0,2.0,58.01011804384532
17,N199500115,1.0,2.0,58.178752107926265
278,N201801047,1.0,2.0,58.34738617200721
143,N201402874,1.0,2.0,58.51602023608816
340,N201803145,1.0,2.0,58.68465430016911
45,N200504430,1.0,2.0,58.853288364250055
229,N201703570,1.0,2.0,59.021922428331
192,N201602132,1.0,2.0,59.19055649241195
243,N201705512,1.0,2.0,59.3591905564929
73,N200903897,1.0,2.0,59.527824620573845
366,N201803775,1.0,2.0,59.69645868465479
352,N201803452,1.0,2.0,59.86509274873574
303,N201801956,1.0,2.0,60.03372681281669
314,N201802263,1.0,2.0,60.202360876897636
365,N201803770,1.0,2.0,60.37099494097858
324,N201802598,1.0,2.0,60.53962900505953
315,N201802324,1.0,2.0,60.70826306914048
249,N201706141,1.0,2.0,60.876897133221426
173,N201505285,1.0,2.0,61.045531197302374
